zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
30318,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.79,-84.44,Eastern,4.0,404,49736.0,2442.0,20.36,0.18,25475.0,19812.0,174800.0,39421.0,-84.498731,-84.390567,33.832056,33.754464,678,770,,,,,,,,,,
02130,Standard,Jamaica Plain,"Jamaica Plain, MA",Jamaica Plain,Suffolk County,MA,42.31,-71.12,Eastern,2.0,617,35401.0,10618.0,3.33,0.13,16016.0,15147.0,392800.0,75730.0,-71.140135,-71.094745,42.332003,42.28695,857,,Boston,,,,,,,,,
60641,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.95,-87.75,Central,2.0,773,71663.0,17730.0,4.04,0.0,27072.0,24770.0,265000.0,46816.0,-87.767123,-87.72583,41.962531,41.93131,,,,,,,,,,,,
60637,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.6,Central,2.0,312,49503.0,10989.0,4.5,0.74,24632.0,19546.0,185100.0,25775.0,-87.626817,-87.56301,41.798613,41.765514,773,872,,,,,,,,,,
30306,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.79,-84.35,Eastern,2.0,404,22246.0,5067.0,4.39,0.01,12373.0,11351.0,488100.0,82566.0,-84.370759,-84.32805,33.810633,33.764503,,,,,,,,,,,,
02142,Standard,Cambridge,"Cambridge, MA",Cambridge,Middlesex County,MA,42.36,-71.08,Eastern,0.7386363636363636,508,3141.0,11359.0,0.28,0.22,1794.0,1468.0,1000001.0,100114.0,-71.092581,-71.070738,42.369131,42.354233,781,857,,978,339,617,,,,,,
60601,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.62,Central,0.7954545454545454,312,11110.0,28793.0,0.39,0.0,8594.0,6739.0,494200.0,95556.0,-87.633967,-87.61328,41.889045,41.880829,773,872,,,,,,,,,,
60644,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.76,Central,1.0,773,48648.0,13885.0,3.5,0.01,19620.0,16512.0,170300.0,26092.0,-87.775113,-87.739932,41.895095,41.865459,,,,,,,,,,,,
30126,Standard,Mableton,"Mableton, GA",Mableton,Cobb County,GA,33.82,-84.55,Eastern,5.0,678,37088.0,1791.0,20.71,0.16,15212.0,13665.0,177900.0,67955.0,-84.613016,-84.48757,33.848844,33.778735,,,,,,,,,,,,
19134,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.99,-75.11,Eastern,2.0,215,60675.0,17295.0,3.51,0.3,23000.0,20080.0,75700.0,24291.0,-75.131937,-75.083781,40.009893,39.968358,267,,Phila,,,,,,,,,
60652,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.75,-87.71,Central,2.0,312,40959.0,8164.0,5.02,0.0,13394.0,12727.0,169600.0,65330.0,-87.742055,-87.682621,41.771201,41.734524,773,,,,,,,,,,,
60638,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.77,Central,3.0,630,55026.0,4957.0,11.1,0.0,21397.0,19698.0,208900.0,61903.0,-87.804788,-87.739368,41.816511,41.751781,708,773,Bedford Park,847,312,,,,,,,
02110,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.359,-71.054,Eastern,0.625,508,1733.0,9355.0,0.19,0.09,1264.0,1048.0,724000.0,111250.0,-71.061212,-71.0455,42.364175,42.352731,774,617,,781,857,978,,,,,,
02129,Standard,Charlestown,"Charlestown, MA",Charlestown,Suffolk County,MA,42.38,-71.06,Eastern,1.0,857,16439.0,12192.0,1.35,0.49,8648.0,8033.0,489900.0,86346.0,-71.080947,-71.044298,42.394996,42.368551,617,781,Boston,,,,,,,,,
60636,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.67,Central,2.0,773,40916.0,10459.0,3.91,0.0,15300.0,12020.0,99700.0,26352.0,-87.686682,-87.652886,41.794175,41.757379,872,,,,,,,,,,,
19109,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.9497,-75.1636,Eastern,0.056818181818181816,610,0.0,,0.0,0.0,0.0,0.0,,,-75.164338,-75.162965,39.950113,39.949205,215,267,Phila,484,,,,,,,,
60171,Standard,River Grove,"River Grove, IL",River Grove,Cook County,IL,41.92,-87.84,Central,1.0,708,10246.0,4538.0,2.26,0.0,4434.0,4141.0,195500.0,46354.0,-87.853599,-87.825441,41.93775,41.910029,773,,,,,,,,,,,
30307,Standard,Atlanta,"Atlanta, GA",Atlanta,DeKalb County,GA,33.77,-84.34,Eastern,2.0,404,18004.0,3942.0,4.57,0.01,9348.0,8684.0,396100.0,76591.0,-84.36698,-84.306535,33.79756,33.752629,,,,,,,,,,,,
30303,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.75,-84.39,Eastern,1.0,470,5934.0,5681.0,1.04,0.0,1749.0,1348.0,200700.0,19000.0,-84.407242,-84.376596,33.76455,33.741168,404,678,,,,,,,,,,
19103,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.95,-75.17,Eastern,0.7386363636363636,215,21908.0,34284.0,0.64,0.01,16612.0,14776.0,428400.0,63709.0,-75.183288,-75.165374,39.960795,39.945591,267,610,Mid City West,484,,,Middle City West,Phila,,,,
02126,Standard,Mattapan,"Mattapan, MA",Mattapan,Suffolk County,MA,42.28,-71.09,Eastern,1.0,617,25562.0,12277.0,2.08,0.02,10151.0,9368.0,282700.0,45238.0,-71.111622,-71.069494,42.291121,42.259722,,,Boston,,,,,,,,,
60649,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.77,-87.56,Central,2.0,773,46650.0,15920.0,2.93,0.99,26343.0,21715.0,180300.0,28573.0,-87.588368,-87.523661,41.781585,41.751055,872,,,,,,,,,,,
02143,Standard,Somerville,"Somerville, MA",Somerville,Middlesex County,MA,42.38,-71.1,Eastern,2.0,617,24514.0,15945.0,1.54,0.01,11752.0,11265.0,434700.0,68440.0,-71.118193,-71.072728,42.392238,42.372724,857,,,,,,,,,,,
60608,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.85,-87.68,Central,2.0,773,82739.0,13025.0,6.35,0.18,28852.0,25196.0,230700.0,35336.0,-87.703045,-87.641546,41.868438,41.830238,872,,,,,,,,,,,
02203,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.361,-71.06,Eastern,0.11363636363636363,857,0.0,,0.0,0.0,0.0,0.0,,,-71.0611,-71.056825,42.362511,42.358875,,,,,,,,,,,,
60630,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.97,-87.76,Central,2.0,773,54093.0,11330.0,4.77,0.0,22195.0,20497.0,271800.0,58086.0,-87.789069,-87.718309,41.98821,41.960467,872,,Jefferson Park,,,,Jefferson Pk,,,,,
02135,Standard,Brighton,"Brighton, MA",Brighton,Suffolk County,MA,42.35,-71.15,Eastern,2.0,617,42780.0,16236.0,2.63,0.22,20834.0,19905.0,350500.0,48687.0,-71.174798,-71.123168,42.373796,42.330189,857,,Boston,,,,,,,,,
19121,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.98,-75.18,Eastern,2.0,215,36572.0,16540.0,2.21,0.13,16390.0,13097.0,86600.0,16105.0,-75.203459,-75.156275,39.995577,39.971467,,,Phila,,,,,,,,,
60623,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.84,-87.72,Central,2.0,312,92108.0,17196.0,5.36,0.1,30931.0,25738.0,155600.0,28949.0,-87.739932,-87.694661,41.866511,41.823135,708,773,,872,,,,,,,,
02115,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.34,-71.1,Eastern,1.0,617,28441.0,40159.0,0.71,0.04,10838.0,10384.0,611800.0,27134.0,-71.113437,-71.080517,42.355417,42.330787,857,,,,,,,,,,,
02134,Standard,Allston,"Allston, MA",Allston,Suffolk County,MA,42.36,-71.13,Eastern,1.0,617,21503.0,16212.0,1.33,0.05,9664.0,9368.0,361900.0,37820.0,-71.144158,-71.110591,42.373043,42.346023,857,,Boston,,,,,,,,,
30349,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.6,-84.5,Eastern,9.0,404,67602.0,1473.0,45.91,0.3,30002.0,25422.0,126400.0,43498.0,-84.645795,-84.400632,33.679109,33.561296,678,770,College Park,,,,,,,,,
60634,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.95,-87.81,Central,3.0,773,74298.0,10446.0,7.11,0.01,27449.0,25712.0,239200.0,55767.0,-87.858884,-87.765648,41.960923,41.930868,872,,,,,,,,,,,
30316,Standard,Atlanta,"Atlanta, GA",Atlanta,DeKalb County,GA,33.74,-84.34,Eastern,3.0,404,31110.0,2485.0,12.52,0.05,15164.0,12888.0,169900.0,44129.0,-84.368165,-84.289872,33.754662,33.678267,,,,,,,,,,,,
60609,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.81,-87.66,Central,2.0,773,64906.0,8367.0,7.76,0.02,24656.0,20119.0,171200.0,33630.0,-87.687306,-87.624179,41.832364,41.79382,312,,,,,,,,,,,
60654,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.89,-87.64,Central,0.7386363636363636,312,14875.0,24468.0,0.61,0.0,11859.0,10062.0,404100.0,90645.0,-87.647745,-87.627992,41.898915,41.886547,630,773,,815,872,708,,,,,,
30312,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.74,-84.38,Eastern,2.0,470,19360.0,5774.0,3.35,0.0,12007.0,10031.0,189400.0,39105.0,-84.408184,-84.358197,33.771133,33.717052,404,678,,770,,,,,,,,
60617,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.73,-87.55,Central,4.0,773,84155.0,6070.0,13.86,1.51,33392.0,28894.0,139300.0,38845.0,-87.587452,-87.523661,41.760035,41.669677,872,,,,,,,,,,,
60805,Standard,Evergreen Park,"Evergreen Park, IL",Evergreen Park,Cook County,IL,41.72,-87.7,Central,1.0,773,19852.0,5827.0,3.41,0.0,7559.0,7192.0,197300.0,65393.0,-87.721738,-87.681843,41.735444,41.706079,,,Chicago,,,,Evergreen Pk,,,,,
19112,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.89,-75.16,Eastern,2.0,215,13.0,7.0,1.74,1.29,1.0,1.0,,,-75.19631,-75.135429,39.901071,39.877365,,,Phila,,,,,,,,,
60615,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.81,-87.6,Central,2.0,312,40603.0,18351.0,2.21,0.64,23192.0,20305.0,232900.0,39055.0,-87.626032,-87.566651,41.812433,41.793358,773,872,,,,,,,,,,
19143,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.94,-75.22,Eastern,2.0,215,64849.0,20342.0,3.19,0.06,29507.0,25490.0,82700.0,30995.0,-75.251647,-75.20506,39.95733,39.923409,267,,Phila,,,,,,,,,
60706,Standard,Harwood Heights,"Harwood Heights, IL",Harwood Heights,Cook County,IL,41.97,-87.82,Central,3.0,224,23134.0,7822.0,2.96,0.0,9669.0,9130.0,258700.0,49325.0,-87.846564,-87.786656,41.975397,41.952288,773,872,Chicago,,,,Harwood Hts,Norridge,,,,
60661,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.883,-87.644,Central,0.625,630,7792.0,26223.0,0.3,0.0,5866.0,5016.0,340400.0,93750.0,-87.648641,-87.639646,41.889074,41.876672,708,773,,872,312,,,,,,,
60304,Standard,Oak Park,"Oak Park, IL",Oak Park,Cook County,IL,41.87,-87.78,Central,1.0,708,17231.0,11244.0,1.53,0.0,7085.0,6630.0,350200.0,85607.0,-87.804706,-87.774139,41.880152,41.864977,,,,,,,,,,,,
60653,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.82,-87.61,Central,1.0,312,29908.0,12818.0,2.33,0.66,15989.0,13556.0,242400.0,24968.0,-87.626228,-87.582092,41.831477,41.807538,773,,,,,,,,,,,
19139,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.96,-75.23,Eastern,1.0,215,41271.0,23317.0,1.77,0.0,20327.0,16761.0,79100.0,24627.0,-75.251119,-75.210954,39.96946,39.952874,267,,Phila,,,,,,,,,
19137,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.0,-75.08,Eastern,1.0,215,8638.0,3588.0,2.41,0.86,3515.0,3279.0,127600.0,43522.0,-75.097262,-75.052225,40.013387,39.974662,,,Phila,,,,,,,,,
60604,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.625,Central,0.625,708,570.0,6157.0,0.09,0.0,496.0,358.0,528100.0,132188.0,-87.633759,-87.622985,41.879555,41.875882,217,224,,312,630,773,,,847,872,,
60625,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.97,-87.7,Central,2.0,773,78651.0,20181.0,3.9,0.01,32255.0,29214.0,305500.0,56597.0,-87.728233,-87.674609,41.990758,41.960947,872,,,,,,,,,,,
30305,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.84,-84.38,Eastern,2.0,678,22999.0,3574.0,6.44,0.03,14125.0,12316.0,469000.0,85993.0,-84.416847,-84.36009,33.863284,33.80984,404,470,,770,,,,,,,,
60632,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.82,-87.69,Central,2.0,773,91326.0,12297.0,7.43,0.05,27057.0,24093.0,177800.0,38545.0,-87.743391,-87.683211,41.834632,41.791971,872,312,,708,,,,,,,,
60651,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.9,-87.74,Central,3.0,773,64267.0,18382.0,3.5,0.0,23199.0,19703.0,174200.0,30971.0,-87.775586,-87.704497,41.910201,41.894265,,,,,,,,,,,,
60603,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.629,Central,0.3977272727272727,217,493.0,3402.0,0.14,0.0,749.0,187.0,643800.0,107419.0,-87.633824,-87.6172,41.882119,41.878278,224,312,,847,872,630,,,773,815,708,
02111,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.351,-71.061,Eastern,0.5113636363636364,617,7383.0,28542.0,0.26,0.02,3628.0,3301.0,691500.0,43551.0,-71.064472,-71.052186,42.356268,42.344896,781,978,,339,857,,,,,,,
19147,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.94,-75.16,Eastern,0.9090909090909091,215,36228.0,25741.0,1.41,0.2,19209.0,17213.0,305800.0,60400.0,-75.168423,-75.134301,39.945557,39.925781,267,,Phila,,,,,,,,,
60613,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.95,-87.65,Central,2.0,773,48281.0,22193.0,2.18,0.43,29976.0,27476.0,308400.0,66697.0,-87.678866,-87.627754,41.969819,41.94597,,,,,,,,,,,,
02109,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.363,-71.054,Eastern,0.625,617,3771.0,21721.0,0.17,0.11,2462.0,2028.0,676700.0,119196.0,-71.059795,-71.046389,42.371197,42.356572,,,,,,,,,,,,
19131,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.99,-75.22,Eastern,2.0,215,43172.0,8181.0,5.28,0.35,21192.0,18258.0,106600.0,27914.0,-75.25,-75.190807,40.011723,39.965085,,,Phila,,,,,,,,,
60624,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.72,Central,1.0,312,38105.0,10780.0,3.53,0.01,16693.0,12701.0,172200.0,22786.0,-87.741203,-87.705669,41.895553,41.865562,773,,,,,,,,,,,
19130,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.97,-75.18,Eastern,1.0,215,24870.0,19213.0,1.29,0.09,14360.0,13089.0,340100.0,62721.0,-75.193731,-75.159442,39.978221,39.956122,484,610,Phila,267,,,,,,,,
60620,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.74,-87.66,Central,2.0,773,72216.0,10191.0,7.09,0.0,29936.0,26058.0,138800.0,31753.0,-87.687521,-87.624007,41.759824,41.721201,872,,,,,,,,,,,
30324,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.82,-84.36,Eastern,2.0,404,24267.0,4612.0,5.26,0.04,15645.0,13521.0,313300.0,63810.0,-84.386487,-84.329687,33.848619,33.791208,470,678,,770,,,,,,,,
02127,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.33,-71.04,Eastern,2.0,617,31799.0,15744.0,2.02,0.61,16409.0,15191.0,398200.0,68724.0,-71.063553,-71.006968,42.347281,42.319608,774,781,South Boston,978,857,,,,,,,
30030,Standard,Decatur,"Decatur, GA",Decatur,DeKalb County,GA,33.77,-84.29,Eastern,2.0,404,26473.0,4065.0,6.51,0.01,13327.0,12232.0,307800.0,66134.0,-84.320379,-84.264755,33.79385,33.747975,,,,,,,,,,,,
02125,Standard,Dorchester,"Dorchester, MA",Dorchester,Suffolk County,MA,42.32,-71.0,Eastern,5.0,617,33295.0,15611.0,2.13,0.31,13263.0,12151.0,301200.0,45130.0,-71.078823,-71.031367,42.330791,42.300822,857,781,Boston,,,,Uphams Corner,,,,,
60611,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.91,-87.61,Central,2.0,312,28718.0,35505.0,0.81,0.6,24211.0,18975.0,464400.0,85642.0,-87.628628,-87.595863,41.904927,41.882334,773,872,,,,,,,,,,
30344,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.68,-84.44,Eastern,4.0,404,31776.0,2627.0,12.09,0.02,15991.0,12531.0,104300.0,36830.0,-84.51562,-84.415049,33.705707,33.632015,678,770,East Point,,,,,,,,,
02210,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.35,-71.04,Eastern,1.0,617,2090.0,2256.0,0.93,0.54,1358.0,1140.0,500000.0,110333.0,-71.056245,-71.012357,42.359733,42.337988,774,781,,857,978,,,,,,,
60827,Standard,Riverdale,"Riverdale, IL",Riverdale,Cook County,IL,41.65,-87.63,Central,3.0,773,27946.0,3985.0,7.01,0.47,11457.0,9637.0,100300.0,33108.0,-87.672051,-87.578452,41.677544,41.629781,872,708,Calumet Park,,,,Chicago,,,,,
19106,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.95,-75.15,Eastern,0.7954545454545454,267,11740.0,14527.0,0.81,0.4,7576.0,6714.0,453400.0,93720.0,-75.155169,-75.130404,39.960209,39.928886,484,215,Phila,,,,William Penn Annex East,Wm Penn ...,,,,
30311,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.73,-84.47,Eastern,3.0,404,32218.0,2592.0,12.43,0.04,15636.0,13125.0,121200.0,27651.0,-84.502793,-84.434022,33.764465,33.68457,,,,,,,,,,,,
60643,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.7,-87.66,Central,3.0,773,49952.0,6800.0,7.35,0.01,19525.0,18004.0,179300.0,61799.0,-87.686115,-87.641224,41.735615,41.65698,872,,Calumet Park,,,,,,,,,
19129,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.01,-75.18,Eastern,2.0,215,10975.0,4992.0,2.2,0.1,5192.0,4769.0,209000.0,49807.0,-75.208008,-75.157728,40.025343,39.999641,,,Phila,,,,,,,,,
02467,Standard,Chestnut Hill,"Chestnut Hill, MA",Chestnut Hill,Norfolk County,MA,42.32,-71.16,Eastern,2.0,857,22491.0,4616.0,4.87,0.05,7000.0,6421.0,690700.0,115493.0,-71.1851,-71.135261,42.344252,42.290989,617,,Boston Clg,,,,Boston College,,,,,
02150,Standard,Chelsea,"Chelsea, MA",Chelsea,Suffolk County,MA,42.4,-71.03,Eastern,2.0,617,35124.0,15907.0,2.21,0.25,12596.0,11809.0,259800.0,47291.0,-71.055295,-71.009377,42.414226,42.383209,857,,,,,,,,,,,
19146,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.94,-75.18,Eastern,1.0,267,35113.0,20782.0,1.69,0.08,19058.0,15983.0,193000.0,42068.0,-75.206072,-75.165153,39.949512,39.930465,215,610,Phila,,,,,,,,,
